IR_ID,ID,Citation,Title,Journal,Issue,Year
1,1,"Basurto, X. Stefan Gelcich and Elinor Ostrom. ""The Social-Ecological System Framework as a Knowledge Classificatory System for Benthic Small-Scale Fisheries,"" Global Environmental Change, v.23, 2013, p. 1366.",The Social-Ecological System Framework as a Knowledge Classificatory System for Benthic Small-Scale Fisheries,Global Environmental Change,23,2013
2,1,"Basurto, X., Bennett Abby, Weaver, Hudson, Rodriguez-Van Dyck, Salvador, Aceves-Bueno, Juan Salvador. ""Cooperative and Non-Cooperative Strategies for Small-Scale Fisheries Self-Governance in the Globalization Era: Implications for Conservation,"" Ecology and Society, v.18, 2013, p. 38.",Cooperative and Noncooperative Strategies for Small-Scale Fisheries Self-Governance in the Globalization Era: Implications for Conservation,Ecology and Society,18,2013
3,1,"Leslie, H. M., E. Goldman, K. M. McLeod, L. Sievanen, H. Balasubramanian, R. Cudney-Bueno, A. Feurerstein, N. Knowlton, K. Lee, R. Pollnac, and J. F. Samhouri. ""How good science and stories can go hand in hand,"" Conservation Biology, v.27, 2013, p. 1126.",How good science and stories can go hand in hand,Conservation Biology,27,2013
4,1,"Reddy, S.W., A. Wentz, O. Aburto-Oropeza, M. Maxey, S. Nagavarapu, H. M. Leslie. ""Evidence of market-driven size-selective fishing and the mediating effects of biological and institutional factors,"" Ecological Applications, v.23, 2013, p. 726.",Evidence of market-driven size-selective fishing and the mediating effects of biological and institutional factors,Journal of Environmental Management,,
5,1,"Rife et al. 2013. ""Long-term effectiveness of a multi-use marine protected area on reef fish assemblages and fisheries landings,"" Journal of Environmental Management, v.117, 2013, p. 276.",Long-term effectiveness of a multi-use marine protected area on reef fish assemblages and fisheries landings,Conservation Letters,,
6,1,"Rife, A. N., Erisman, B., Sanchez, A. & Aburto-Oropeza, O.. ""When good intentions are not enough? - ?Insights on networks of ?paper park? marine protected areas,"" Conservation Letters, v.6, 2013, p. 200.",When good intentions are not enough? Insights on networks of ?paper park? marine protected areas,Conservation Biology,,
7,1,"Wilder, B. T., O'Meara, C., Narchi, N., Narváez, A. M. & Aburto-Oropeza, O.. ""The need for a next generation of Sonoran desert researchers.,"" Conservation Biology, v.27, 2013, p. 243.",The need for a next generation of Sonoran desert researchers.,Ecological Applications,,
8,2,"Matthew J. Liebmann, Joshua Farella, Christopher I. Roos, Adam Stack, Sarah Martini, and Thomas W. Swetnam. ""Native American Depopulation, Reforestation, and Fire Regimes in the Southwest U.S., 1492-1900 C.E.,"" Proceedings of the National Academy of Sciences, v.113, 2016, p. E696. doi:10.1073/pnas.1521744113","Native American Depopulation, Reforestation, and Fire Regimes in the Southwest U.S., 1492-1900 C.E.",Proceedings of the National Academy of Sciences,,
9,2,"Thomas W. Swetnam, Joshua Farella, Christopher I. Roos, Matthew J. Liebmann, Donald A. Falk, and Craig D. Allen. ""Multi-Scale perspectives of fire, climate, and humans in western North America and the Jemez Mountains, U.S.A.,"" Philosophical Transactions of the Royal Society B, v.371, 2016, p. 20150168. doi:10.1098/rstb.2015.0168","Multi-Scale perspectives of fire, climate, and humans in western North America and the Jemez Mountains, U.S.A.",Philosophical Transactions of the Royal Society B,,
10,3,"Ajami, H; Meixner, T; Maddock III, T; Hogan, JF; Guertin, D. ""RIPGIS-NET: A GIS Tool for Riparian Groundwater Evapotranspiration in MODFLOW,"" Ground Water, 2011. doi:10.1111/j.1745-6584.2011.00809.x",RIPGIS-NET: A GIS Tool for Riparian Groundwater Evapotranspiration in MODFLOW,Ground Water,,
11,3,"Ormerod, KJ; Scott, CA. ""Drinking wastewater: public trust in potable reuse,"" Science, Technology, and Human Values, 2012.",Drinking wastewater: public trust in potable reuse,"Science, Technology, and Human Values",,
12,3,"Scott, C.A., S. Megdal, L.A. Oroz, J. Callegary, P. Vandervoet. ""Effects of climate change and population growth on the transboundary Santa Cruz aquifer,"" Climate Research, v.51, 2012, p. 159. doi: 10.3354/cr01061",Effects of climate change and population growth on the transboundary Santa Cruz aquifer,Climate Research,,
13,3,"Ajami, H., T. Meixner, F. Dominguez, J. Hogan, T. Maddock. ""Seasonalizing mountain system recharge in semi-arid basins-climate change impacts,"" Ground Water, v.50, 2012, p. 585. doi:10.1111/j.1745-6584.2011.00881.x",Seasonalizing mountain system recharge in semi-arid basins-climate change impacts,Ground Water,,
14,3,"Browning-Aiken, A., and E. Pliego Perla. ""Institutional analysis of water management, federal policy, and the dynamic between governmental and non-governmental actors in problem solving,"" Journal of Hydrologic Environment, v.7, 2011, p. 81.","Institutional analysis of water management, federal policy, and the dynamic between governmental and non-governmental actors in problem solving",Journal of Hydrologic Environment,,
15,3,"Browning-Aiken, A., K.J. Ormerod, C.A. Scott. ""Testing the climate for non-potable water reuse: opportunities and challenges in water-scarce urban growth corridors,"" ournal of Environmental Policy & Planning, v.13, 2011, p. 253. doi:10.1080/1523908X.2011.594597",Testing the climate for non-potable water reuse: opportunities and challenges in water-scarce urban growth corridors,Journal of Environmental Policy & Planning,,
