unique_id,Citation,Title,Journal,Issue,Year
1824951,"Penny, Gopal Shahjahan and Mondal, M. L. and Biswas, Subir F. and Bolster, Diogo and Tank, Jennifer and Müller, Marc. ""Using Natural Experiments and Counterfactuals for Causal Assessment: River Salinity and the Ganges Water Agreement,"" Water Resources Research, v.56, 2020. doi:10.1029/2019WR026166",Using Natural Experiments and Counterfactuals for Causal Assessment: River Salinity and the Ganges Water Agreement,Water Resources Research,56,2020
1824951,"Roche, Kevin R. and Müller-Itten, Michèle N. and Dralle, David F. and Bolster, Diogo and Müller, Marc. ""Climate change and the opportunity cost of conflict,"" Proceedings of the National Academy of Sciences, v.117, 2020. doi:10.1073/pnas.1914829117",Climate change and the opportunity cost of conflict,Proceedings of the National Academy of Sciences,117,2020
1824951,"Müller, M. F. and Thompson, S. E.. ""A Value?Based Model Selection Approach for Environmental Random Variables,"" Water Resources Research, v.55, 2019. doi:10.1029/2018WR023000",A Value?Based Model Selection Approach for Environmental Random Variables,Water Resources Research,55,2019
1824951,"Rahman, M.M. and Penny, G. and Mondal, M.S. and Zaman, M.H. and Kryston, A. and Salehin, M. and Nahar, Q. and Islam, M.S. and Bolster, D. and Tank, J.L. and Müller, M.F.. ""Salinization in large river deltas: Drivers, impacts and socio-hydrological feedbacks,"" Water Security, v.6, 2019. doi:10.1016/j.wasec.2019.100024","Salinization in large river deltas: Drivers, impacts and socio-hydrological feedbacks",Water Security,6,2019
1824951,"Müller, Marc F. and Levy, Morgan C.. ""Complementary Vantage Points: Integrating Hydrology and Economics for Sociohydrologic Knowledge Generation,"" Water Resources Research, v.55, 2019. doi:10.1029/2019WR024786",Complementary Vantage Points: Integrating Hydrology and Economics for Sociohydrologic Knowledge Generation,Water Resources Research,55,2019
1414102,"Susanne H. Sokolow, Elizabeth Huttinger, Nicolas Jouanard, Michael H. Hsieh, Kevin D. Lafferty, Armand M. Kuris, Gilles Riveau, Simon Senghor, Cheikh Thiam, Alassane N?Diaye, Djibril Sarr Faye, and Giulio A. De Leo. ""Reduced transmission of human schistosomiasis after restoration of a native river prawn that preys on the snail intermediate host,"" Proceedings of the National Academy of Sciences, 2015. doi:www.pnas.org/cgi/doi/10.1073/pnas.1502651112",Reduced transmission of human schistosomiasis after restoration of a native river prawn that preys on the snail intermediate host,Proceedings of the National Academy of Sciences,,2015
1414102,"Perez-Saez J, Mari L, Bertuzzo E, Casagrandi R, Sokolow SH, De Leo GA, Mande T, Ceperley N, Froehlich JM, Sou M, Karambiri H, Yacouba H, Maiga A, Gatto M and A. Rinaldo. ""A theoretical analysis of the geography of schistosomiasis in Burkina Faso highlights the roles of human mobility and water resources development in disease transmission,"" PLOS Neglected Tropical Diseases, v.9, 2015, p. e0004127. doi:doi:10.1371/journal.pntd.0004127",A theoretical analysis of the geography of schistosomiasis in Burkina Faso highlights the roles of human mobility and water resources development in disease transmission,PLOS Neglected Tropical Diseases,9,2015
1414102,"Swartz, S. J., G. A. De Leo, C. L. Wood and S. H. Sokolow.. ""Infection with Schistosome Parasite in Snails Leads to Increased Predation by Prawns: Implications for Human Schistosomiasis Control,"" Journal of Experimental Biology, v.218, 2015, p. 3962.",Infection with Schistosome Parasite in Snails Leads to Increased Predation by Prawns: Implications for Human Schistosomiasis Control,Journal of Experimental Biology,218,2015
1414102,"Garchitorena, A, Sokolow, SH, Roche, B, Ngonghala, CN, Jocque, M, Lund, A, Guégan, JF, Bonds, MH, De Leo, GA.. ""Disease ecology, health and the environment: accounting for ecological and socio-economic feedbacks in the control of tropical diseases of the poor.,"" Philosophical Transactions of the Royal Society B, 2017.","Disease ecology, health and the environment: accounting for ecological and socio-economic feedbacks in the control of tropical diseases of the poor.",Philosophical Transactions of the Royal Society B,,2017
1414102,"Mari L, Casagrandi R., Ciddio M., Sokolow S.H., De Leo G.A., and Gatto M.. ""Big-data-driven modeling unveils country-wide drivers of endemic schistosomiasis,"" Nature Scientific Reports, v.7, 2017.",Big-data-driven modeling unveils country-wide drivers of endemic schistosomiasis,Nature Scientific Reports,7,2017
1414102,"Perez-Saez J, Mari L, Bertuzzo E, Casagrandi R, Sokolow SH, De Leo GA, Mande T, Ceperley N, Froehlich JM, Sou M, Karambiri H, Yacouba H, Maiga A, Gatto M and A. Rinaldo. ""A theoretical analysis of the geography of schistosomiasis in Burkina Faso highlights the roles of human mobility and water resources development in disease transmission,"" PLOS Neglected Tropical Diseases, v.9, 2015, p. e000412.",A theoretical analysis of the geography of schistosomiasis in Burkina Faso highlights the roles of human mobility and water resources development in disease transmission,PLOS Neglected Tropical Diseases,9,2015
1414102,"Sokolow Susanne H., Jones, Isabel J. Jones, Jocque, Merlijn, La, Diana, Cords, Olivia, Knight, Anika, Fisk, Jonathan, Lund, Andrea, Wood, Chelsea L., Lafferty, Kevin D., Kuris, Armand M., Hoover, Chris. Collender, Phillip A., Remais, Justin, Lopez-Carr, D. ""Nearly 400 million people are at higher risk of schistosomiasis because dams block the migration of snail- eating river prawns.,"" Philosophical Transactions of the Royal Society B, 2017.",Nearly 400 million people are at higher risk of schistosomiasis because dams block the migration of snail- eating river prawns.,Philosophical Transactions of the Royal Society B,,2017
1414102,"Sokolow, S. H., C. L. Wood, I. J. Jones, S. J. Swartz, M. Lopez, M. H. Hsieh, K. D. Lafferty, A. M. Kuris, C. Rickards and G. A. De Leo. ""Global Assessment of Schistosomiasis Control over the Past Century Shows Targeting the Snail Intermediate Host Works Best,"" Plos Neglected Tropical Diseases, 2016.",Global Assessment of Schistosomiasis Control over the Past Century Shows Targeting the Snail Intermediate Host Works Best,Plos Neglected Tropical Diseases,,2016
1414102,"Ciddio, M, Mari, L, Sokolow, SH, De Leo, GA, Casagrandi, R, Gatto, M.. ""The spatial spread of schistosomiasis: a multidimensional network model applied to Saint-Louis region, Senegal.,"" Advances in Water Resources., 2017.","The spatial spread of schistosomiasis: a multidimensional network model applied to Saint-Louis region, Senegal.",Advances in Water Resources.,,2017
1414102,"De Leo, G.A., Sokolow, S.H., Garchitorena, A., Ngonghala, C.N., Lund, A., Barry, M., Burke, K.S., Mordecai, E.A., Daily, G.C., Jones, J.H., Andrews, J.R., Bendavid, E., Luby, S.P., LaBeaud, A.D., Seetah,K., Guégan, J.F., La?erty, K.D., Wood, C.L., Jones,. ""A novel framework to account for ecological drivers in the control and elimination of environmentally transmitted disease: a modelling study.,"" Lancet Planetary Health., 2017.",A novel framework to account for ecological drivers in the control and elimination of environmentally transmitted disease: a modelling study.,Lancet Planetary Health.,,2017
