scopus_id,eid,title,publication_name,issn,isbn,eissn,volume,issue,page_range,cover_date,doi,description,citation_count,affiliation,aggregation_type,subtype_description,author_name_list,author_ids,auth_keywords,fund_acr,fund_no,fund_sponsor,full_text,award_id
85083978457,2-s2.0-85083978457,Using Natural Experiments and Counterfactuals for Causal Assessment: River Salinity and the Ganges Water Agreement,Water Resources Research,00431397,,19447973,56,4,,2020-04-01,10.1029/2019WR026166,"©2020. American Geophysical Union. All Rights Reserved. The effect of environmental policy on water resources is often challenging to evaluate due to dynamic interactions between people and water, particularly in data-scarce watersheds. Increasing interactions between society and hydrology present a need to understand causal relations for improved assessment and prediction in complex human-water systems. Conventional approaches to causal assessment in hydrology are sometimes insufficient due to data scarcity or system complexity. We argue that natural experiments present a promising and complementary avenue for assessing causal relations in such systems. In this spirit, we describe a natural experiment to assess causal effects of the Ganges water treaty, between India and Bangladesh, on streamflow and channel salinity in the Ganges delta in Bangladesh. We apply causal inference to assess the effect of the treaty on streamflow and use the results to generate synthetic ensembles of streamflow and salinity under a realistic scenario (with the treaty) and a counterfactual scenario (without the treaty). We then use synthetic streamflow ensembles to model salinity ensembles. The Ganges water treaty increased dry-season streamflow in Bangladesh by approximately 18% and decreased channel salinity by approximately 10%. The treaty has the greatest effect on salinity in Bangladesh in the driest years, but the overall effect is small compared with natural variability. We show that our approach accounts for natural hydrologic variability to accurately assess the causal effect of the treaty, compared with a naive approach that greatly overestimates the effect. This research demonstrates the value of natural experiments for causal assessment in coupled human-water systems.",0,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021508', 'afid': '60021508', 'affilname': 'University of Notre Dame', 'affiliation-city': 'Notre Dame', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021158', 'afid': '60021158', 'affilname': 'Bangladesh University of Engineering and Technology', 'affiliation-city': 'Dhaka', 'affiliation-country': 'Bangladesh'}]",Journal,Article,"['Penny G.', 'Mondal M.S.', 'Biswas S.', 'Bolster D.', 'Tank J.L.', 'Müller M.F.']","['55935648500', '8982591600', '57199007378', '57205870864', '7004885835', '57189929871']",Bangladesh | causal inference | delta | difference in difference | India | transboundary treaty,NSF,ICER 1824951,National Science Foundation,,1824951
85078687033,2-s2.0-85078687033,Climate change and the opportunity cost of conflict,Proceedings of the National Academy of Sciences of the United States of America,00278424,,10916490,117,4,1935-1940,2020-01-28,10.1073/pnas.1914829117,"© 2020 National Academy of Sciences. All rights reserved. A growing empirical literature associates climate anomalies with increased risk of violent conflict. This association has been portrayed as a bellwether of future societal instability as the frequency and intensity of extreme weather events are predicted to increase. This paper investigates the theoretical foundation of this claim. A seminal microeconomic model of opportunity costs-a mechanism often thought to drive climate-conflict relationships- is extended by considering realistic changes in the distribution of climate-dependent agricultural income. Results advise caution in using empirical associations between short-run climate anomalies and conflicts to predict the effect of sustained shifts in climate regimes: Although war occurs in bad years, conflict may decrease if agents expect more frequent bad years. Theory suggests a nonmonotonic relation between climate variability and conflict that emerges as agents adapt and adjust their behavior to the new income distribution. We identify 3 measurable statistics of the income distribution that are each unambiguously associated with conflict likelihood. Jointly, these statistics offer a unique signature to distinguish opportunity costs from competing mechanisms that may relate climate anomalies to conflict.",1,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021508', 'afid': '60021508', 'affilname': 'University of Notre Dame', 'affiliation-city': 'Notre Dame', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60013649', 'afid': '60013649', 'affilname': 'California State University, Sacramento', 'affiliation-city': 'Sacramento', 'affiliation-country': 'United States'}]",Journal,Article,"['Roche K.R.', 'Müller-Itten M.', 'Dralle D.N.', 'Bolster D.', 'Müller M.F.']","['56995760600', '57194709208', '35181040100', '57205870864', '57189929871']",Agriculture | Income shock | Microeconomic theory | Rainfall | Violence,NSF,1824951,National Science Foundation,,1824951
85062953724,2-s2.0-85062953724,"Salinization in large river deltas: Drivers, impacts and socio-hydrological feedbacks",Water Security,,,24683124,6,,,2019-03-01,10.1016/j.wasec.2019.100024,"© 2019 Elsevier B.V. Salinization of freshwater and soils is a global phenomenon that adversely affects 500 million people, particularly in low-lying river deltas. Impacts of salinity on food and water security and agricultural livelihoods are well documented and reviewed herein, along with additional effects on human health that have received less attention and warrant further study. Populations forced to consume saline waters display increased occurrence of diseases such as hypertension in Bangladesh, particularly among the rural poor in coastal areas. This review synthesizes knowledge on socio-hydrological drivers of salinization in large river deltas globally. Multiple drivers arise at different scales and include agricultural practices, upstream water diversion, and relative sea level rise and can be amplified through feedback from inappropriate adaptation strategies. Understanding deltas as truly coupled socio-hydrologic systems is critical to anticipate these feedbacks.",5,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021508', 'afid': '60021508', 'affilname': 'University of Notre Dame', 'affiliation-city': 'Notre Dame', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021158', 'afid': '60021158', 'affilname': 'Bangladesh University of Engineering and Technology', 'affiliation-city': 'Dhaka', 'affiliation-country': 'Bangladesh'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60010123', 'afid': '60010123', 'affilname': 'International Centre for Diarrhoeal Disease Research Bangladesh', 'affiliation-city': 'Dhaka', 'affiliation-country': 'Bangladesh'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/113725128', 'afid': '113725128', 'affilname': 'Environmental Microbiology Laboratory', 'affiliation-city': 'Dhaka', 'affiliation-country': 'Bangladesh'}]",Journal,Review,"['Rahman M.M.', 'Penny G.', 'Mondal M.S.', 'Zaman M.H.', 'Kryston A.', 'Salehin M.', 'Nahar Q.', 'Islam M.S.', 'Bolster D.', 'Tank J.L.', 'Müller M.F.']","['57210030721', '55935648500', '8982591600', '57213896823', '57207815222', '7801555589', '11240528300', '57211605809', '57205870864', '7004885835', '57189929871']",Adaptation | Climate change | Ganges-Brahmaputra-Meghna | River delta | Salinity,NSF,undefined,National Science Foundation,https://api.elsevier.com/content/article/eid/1-s2.0-S2468312418300087,1824951
85065169767,2-s2.0-85065169767,Complementary Vantage Points: Integrating Hydrology and Economics for Sociohydrologic Knowledge Generation,Water Resources Research,00431397,,19447973,55,4,2549-2571,2019-04-01,10.1029/2019WR024786,"©2019. American Geophysical Union. All Rights Reserved. Because human and environmental systems in the Anthropocene are increasingly coupled, hydrologists and economists often find themselves studying the same systems from different vantage points. Here we argue that synthesis across economics and hydrology can help address two pressing sociohydrologic challenges: actionable prediction and the generation of transferable knowledge from place-based studies. Specifically, we review (1) empirical methods and (2) theoretical approaches from economics and connect the two through a proposed iterative framework. First, we find that empirical methods for statistical analysis of natural and quasi-experiments in economics can be leveraged to distinguish causal relations from mere correlations in complex and data scarce systems, which can help address the challenge of sociohydrologic prediction. Second, we find that economic theories based on rational choice can be used to decipher known paradoxes in water resources, which can help address the challenge of sociohydrologic knowledge generation. In both empirical and theoretical domains, specialized knowledge in hydrology remains critical to properly applying techniques from economics to coupled human-water systems. We propose that linkages between the two fields highlight a large potential for interaction.",8,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60121512', 'afid': '60121512', 'affilname': 'School of Global Policy and Strategy', 'affiliation-city': 'San Diego', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021508', 'afid': '60021508', 'affilname': 'University of Notre Dame', 'affiliation-city': 'Notre Dame', 'affiliation-country': 'United States'}]",Journal,Review,"['Müller M.', 'Levy M.']","['57189929871', '56839516400']",causal inference | econometrics | game theory | microeconomics | regression | trade,NSF,T1-1639318/1316536,National Science Foundation,,1824951
85027416008,2-s2.0-85027416008,Erratum: Reduced transmission of human schistosomiasis after restoration of a native river prawn that preys on the snail intermediate host (Proceedings of the National Academy of Sciences of the United States of America (2015) 112 (9650–965) DOI: 10.1073/pnas.1502651112),Proceedings of the National Academy of Sciences of the United States of America,00278424,,10916490,114,33,E7028-E7029,2017-08-15,10.1073/pnas.1712011114,"© 2017, National Academy of Sciences. All rights reserved. ECOLOGY, SUSTAINABILITY SCIENCE Correction for “Reduced transmission of human schistosomiasis after restoration of a native river prawn that preys on the snail intermediate host,” by Susanne H. Sokolow, Elizabeth Huttinger, Nicolas Jouanard, Michael H. Hsieh, Kevin D. Lafferty, Armand M. Kuris, Gilles Riveau, Simon Senghor, Cheikh Thiam, Alassane N’Diaye, Djibril Sarr Faye, and Giulio A. De Leo, which was first published July 20, 2015; 10.1073/pnas.1502651112 (Proc Natl Acad Sci USA 112:9650–9655). The authors note that Eq. 1 on page 9654 appeared incorrectly. The corrected equation appears below. The online version has been corrected. dS/dt = f ϕ1 − φN)(S + zE) − μS − qPS/1 + qNTh − βωηMh The authors also note that Table S1 appeared incorrectly. The corrected table appears below. The SI has been corrected online.",0,,Journal,Erratum,[],[],,,undefined,,,1414102
84955302243,2-s2.0-84955302243,A Theoretical Analysis of the Geography of Schistosomiasis in Burkina Faso Highlights the Roles of Human Mobility and Water Resources Development in Disease Transmission,PLoS Neglected Tropical Diseases,19352727,,19352735,9,10,,2015-10-29,10.1371/journal.pntd.0004127,"© 2015 Perez-Saez et al. We study the geography of schistosomiasis across Burkina Faso by means of a spatially explicit model of water-based disease dynamics. The model quantitatively addresses the geographic stratification of disease burden in a novel framework by explicitly accounting for drivers and controls of the disease, including spatial information on the distributions of population and infrastructure, jointly with a general description of human mobility and climatic/ecological drivers. Spatial patterns of disease are analysed by the extraction and the mapping of suitable eigenvectors of the Jacobian matrix subsuming the stability of the disease-free equilibrium. The relevance of the work lies in the novel mapping of disease burden, a byproduct of the parametrization induced by regional upscaling, by model-guided field validations and in the predictive scenarios allowed by exploiting the range of possible parameters and processes. Human mobility is found to be a primary control at regional scales both for pathogen invasion success and the overall distribution of disease burden. The effects of water resources development highlighted by systematic reviews are accounted for by the average distances of human settlements from water bodies that are habitats for the parasite’s intermediate host. Our results confirm the empirical findings about the role of water resources development on disease spread into regions previously nearly disease-free also by inspection of empirical prevalence patterns. We conclude that while the model still needs refinements based on field and epidemiological evidence, the proposed framework provides a powerful tool for large-scale public health planning and schistosomiasis management.",19,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60117400', 'afid': '60117400', 'affilname': ""2iE - Institut International d'Ingénierie de l'Eau et de l'Environnement"", 'affiliation-city': 'Ouagadougou', 'affiliation-country': 'Burkina Faso'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029241', 'afid': '60029241', 'affilname': 'University of California, Santa Barbara', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028186', 'afid': '60028186', 'affilname': 'Ecole Polytechnique Fédérale de Lausanne', 'affiliation-city': 'Lausanne', 'affiliation-country': 'Switzerland'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60023256', 'afid': '60023256', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'afid': '60012708', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60000481', 'afid': '60000481', 'affilname': 'Università degli Studi di Padova', 'affiliation-city': 'Padua', 'affiliation-country': 'Italy'}]",Journal,Article,"['Perez-Saez J.', 'Mari L.', 'Bertuzzo E.', 'Casagrandi R.', 'Sokolow S.H.', 'De Leo G.A.', 'Mande T.', 'Ceperley N.', 'Froehlich J.M.', 'Sou M.', 'Karambiri H.', 'Yacouba H.', 'Maiga A.', 'Gatto M.', 'Rinaldo A.']","['57142399100', '16426017600', '23972622800', '6602656510', '8725138200', '7006105591', '56784318600', '53981054900', '57141930500', '55869244600', '8079358900', '25652317500', '15521309500', '7006490979', '7103192491']",,,undefined,,,1414102
84963655369,2-s2.0-84963655369,Infection with schistosome parasites in snails leads to increased predation by prawns: Implications for human schistosomiasis control,Journal of Experimental Biology,00220949,,,218,24,3962-3967,2015-12-01,10.1242/jeb.129221,"© 2015. Published by The Company of Biologists Ltd. Schistosomiasis - a parasitic disease that affects over 200 million people across the globe - is primarily transmitted between human definitive hosts and snail intermediate hosts. To reduce schistosomiasis transmission, some have advocated disrupting the schistosome life cycle through biological control of snails, achieved by boosting the abundance of snails' natural predators. But little is known about the effect of parasitic infection on predator-prey interactions, especially in the case of schistosomiasis. Here, we present the results of laboratory experiments performed on Bulinus truncatus and Biomphalaria glabrata snails to investigate: (i) rates of predation on schistosome-infected versus uninfected snails by a sympatric native river prawn, Macrobrachium vollenhovenii, and (ii) differences in snail behavior (including movement, refuge-seeking and anti-predator behavior) between infected and uninfected snails. In predation trials, prawns showed a preference for consuming snails infected with schistosome larvae. In behavioral trials, infected snails moved less quickly and less often than uninfected snails, and were less likely to avoid predation by exiting the water or hiding under substrate. Although the mechanism by which the parasite alters snail behavior remains unknown, these results provide insight into the effects of parasitic infection on predator-prey dynamics and suggest that boosting natural rates of predation on snails may be a useful strategy for reducing transmission in schistosomiasis hotspots.",16,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029241', 'afid': '60029241', 'affilname': 'University of California, Santa Barbara', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60025778', 'afid': '60025778', 'affilname': 'University of Michigan, Ann Arbor', 'affiliation-city': 'Ann Arbor', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'afid': '60012708', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}]",Journal,Article,"['Swartz S.', 'De Leo G.', 'Wood C.', 'Sokolow S.']","['57188825064', '7006105591', '17347288000', '8725138200']",Behavior manipulation | Biological control | Parasitism | Schistosoma,,undefined,,,1414102
85016943160,2-s2.0-85016943160,Big-data-driven modeling unveils country-wide drivers of endemic schistosomiasis,Scientific Reports,,,20452322,7,1,,2017-12-01,10.1038/s41598-017-00493-1,"© 2017 The Author(s). Schistosomiasis is a parasitic infection that is widespread in sub-Saharan Africa, where it represents a major health problem. We study the drivers of its geographical distribution in Senegal via a spatially explicit network model accounting for epidemiological dynamics driven by local socioeconomic and environmental conditions, and human mobility. The model is parameterized by tapping several available geodatabases and a large dataset of mobile phone traces. It reliably reproduces the observed spatial patterns of regional schistosomiasis prevalence throughout the country, provided that spatial heterogeneity and human mobility are suitably accounted for. Specifically, a fine-grained description of the socioeconomic and environmental heterogeneities involved in local disease transmission is crucial to capturing the spatial variability of disease prevalence, while the inclusion of human mobility significantly improves the explanatory power of the model. Concerning human movement, we find that moderate mobility may reduce disease prevalence, whereas either high or low mobility may result in increased prevalence of infection. The effects of control strategies based on exposure and contamination reduction via improved access to safe water or educational campaigns are also analyzed. To our knowledge, this represents the first application of an integrative schistosomiasis transmission model at a whole-country scale.",18,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029241', 'afid': '60029241', 'affilname': 'University of California, Santa Barbara', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60023256', 'afid': '60023256', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'afid': '60012708', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/113153309', 'afid': '113153309', 'affilname': ""Ministère de la Santé et de l'Action Sociale"", 'affiliation-city': 'Dakar', 'affiliation-country': 'Senegal'}]",Journal,Article,"['Mari L.', 'Gatto M.', 'Ciddio M.', 'DIa E.', 'Sokolow S.', 'De Leo G.', 'Casagrandi R.']","['16426017600', '7006490979', '56524598400', '57193834392', '8725138200', '7006105591', '6602656510']",,,undefined,,,1414102
84955302243,2-s2.0-84955302243,A Theoretical Analysis of the Geography of Schistosomiasis in Burkina Faso Highlights the Roles of Human Mobility and Water Resources Development in Disease Transmission,PLoS Neglected Tropical Diseases,19352727,,19352735,9,10,,2015-10-29,10.1371/journal.pntd.0004127,"© 2015 Perez-Saez et al. We study the geography of schistosomiasis across Burkina Faso by means of a spatially explicit model of water-based disease dynamics. The model quantitatively addresses the geographic stratification of disease burden in a novel framework by explicitly accounting for drivers and controls of the disease, including spatial information on the distributions of population and infrastructure, jointly with a general description of human mobility and climatic/ecological drivers. Spatial patterns of disease are analysed by the extraction and the mapping of suitable eigenvectors of the Jacobian matrix subsuming the stability of the disease-free equilibrium. The relevance of the work lies in the novel mapping of disease burden, a byproduct of the parametrization induced by regional upscaling, by model-guided field validations and in the predictive scenarios allowed by exploiting the range of possible parameters and processes. Human mobility is found to be a primary control at regional scales both for pathogen invasion success and the overall distribution of disease burden. The effects of water resources development highlighted by systematic reviews are accounted for by the average distances of human settlements from water bodies that are habitats for the parasite’s intermediate host. Our results confirm the empirical findings about the role of water resources development on disease spread into regions previously nearly disease-free also by inspection of empirical prevalence patterns. We conclude that while the model still needs refinements based on field and epidemiological evidence, the proposed framework provides a powerful tool for large-scale public health planning and schistosomiasis management.",19,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60117400', 'afid': '60117400', 'affilname': ""2iE - Institut International d'Ingénierie de l'Eau et de l'Environnement"", 'affiliation-city': 'Ouagadougou', 'affiliation-country': 'Burkina Faso'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029241', 'afid': '60029241', 'affilname': 'University of California, Santa Barbara', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028186', 'afid': '60028186', 'affilname': 'Ecole Polytechnique Fédérale de Lausanne', 'affiliation-city': 'Lausanne', 'affiliation-country': 'Switzerland'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60023256', 'afid': '60023256', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'afid': '60012708', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60000481', 'afid': '60000481', 'affilname': 'Università degli Studi di Padova', 'affiliation-city': 'Padua', 'affiliation-country': 'Italy'}]",Journal,Article,"['Perez-Saez J.', 'Mari L.', 'Bertuzzo E.', 'Casagrandi R.', 'Sokolow S.H.', 'De Leo G.A.', 'Mande T.', 'Ceperley N.', 'Froehlich J.M.', 'Sou M.', 'Karambiri H.', 'Yacouba H.', 'Maiga A.', 'Gatto M.', 'Rinaldo A.']","['57142399100', '16426017600', '23972622800', '6602656510', '8725138200', '7006105591', '56784318600', '53981054900', '57141930500', '55869244600', '8079358900', '25652317500', '15521309500', '7006490979', '7103192491']",,,undefined,,,1414102
85018707635,2-s2.0-85018707635,Nearly 400 million people are at higher risk of schistosomiasis because dams block the migration of snail-eating river prawns,Philosophical Transactions of the Royal Society B: Biological Sciences,09628436,,14712970,372,1722,,2017-06-05,10.1098/rstb.2016.0127,"© 2017 The Authors. Dams have long been associated with elevated burdens of human schistosomiasis, but how dams increase disease is not always clear, in part because dams have many ecological and socio-economic effects. A recent hypothesis argues that dams block reproduction of the migratory river prawns that eat the snail hosts of schistosomiasis. In the Senegal River Basin, there is evidence that prawn populations declined and schistosomiasis increased after completion of the Diama Dam. Restoring prawns to a water-access site upstream of the dam reduced snail density and reinfection rates in people. However, whether a similar cascade of effects (from dams to prawns to snails to human schistosomiasis) occurs elsewhere is unknown. Here, we examine large dams worldwide and identify where their catchments intersect with endemic schistosomiasis and the historical habitat ranges of large, migratory Macrobrachium spp. prawns. River prawn habitats are widespread, and we estimate that 277–385 million people live within schistosomiasis-endemic regions where river prawns are or were present (out of the 800 million people who are at risk of schistosomiasis). Using a published repository of schistosomiasis studies in sub-Saharan Africa, we compared infection before and after the construction of 14 large dams for people living in: (i) upstream catchments within historical habitats of native prawns, (ii) comparable undammed watersheds, and (iii) dammed catchments beyond the historical reach of migratory prawns. Damming was followed by greater increases in schistosomiasis within prawn habitats than outside prawn habitats. We estimate that one third to one half of the global population-at-risk of schistosomiasis could benefit from restoration of native prawns. Because dams block prawn migrations, our results suggest that prawn extirpation contributes to the sharp increase of schistosomiasis after damming, and points to prawn restoration as an ecological solution for reducing human disease.",18,"[{'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60159529', 'afid': '60159529', 'affilname': 'Medaille College', 'affiliation-city': 'Buffalo', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029241', 'afid': '60029241', 'affilname': 'University of California, Santa Barbara', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60025778', 'afid': '60025778', 'affilname': 'University of Michigan, Ann Arbor', 'affiliation-city': 'Ann Arbor', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60025038', 'afid': '60025038', 'affilname': 'University of California, Berkeley', 'affiliation-city': 'Berkeley', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60015481', 'afid': '60015481', 'affilname': 'University of Washington, Seattle', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'afid': '60012708', 'affilname': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affiliation-url': 'https://api.elsevier.com/content/affiliation/affiliation_id/60011347', 'afid': '60011347', 'affilname': 'United States Geological Survey', 'affiliation-city': 'Reston', 'affiliation-country': 'United States'}]",Journal,Article,"['Sokolow S.H.', 'Jones I.J.', 'Jocque M.', 'La D.', 'Cords O.', 'Knight A.', 'Lund A.', 'Wood C.L.', 'Lafferty K.D.', 'Hoover C.M.', 'Collender P.A.', 'Remais J.V.', 'Lopez-Carr D.', 'Fisk J.', 'Kuris A.M.', 'de Leo G.A.']","['8725138200', '57190491261', '6504029293', '57194091504', '57194088689', '57194091411', '57194096248', '17347288000', '7102712700', '57189504361', '56938851400', '6504709208', '55510801600', '57196792800', '7003855055', '7006105591']",Bilharzia | Biological control | Dam | Disease control | Planetary health | Schistosome,NIH,R01AI125842,National Institutes of Health,,1414102
