Publication_Name,Quartile,Field,CiteScore
2d materials,Quartile 1,NS,6.77
3 biotech,Quartile 1,NS,2.61
3d printing and additive manufacturing,Quartile 1,NS,3.24
3d research,Quartile 2,NS,1.67
"3l: language, linguistics, literature",Quartile 1,Other,0.61
4or,Quartile 1,Other,2.33
"6th international conference on research into design, icord 2017",Quartile 4,Other,0.28
a + u-architecture and urbanism,Quartile 4,NS,0.01
a contrario,Quartile 3,Other,0.04
a&a practice,Quartile 2,NS,0.64
a/b: auto/biography studies,Quartile 1,Other,0.25
a|z itu journal of faculty of architecture,Quartile 2,Other,0.14
a+be architecture and the built environment,Quartile 3,NS,0.1
"aaa, arbeiten aus anglistik und amerikanistik",Quartile 3,Other,0.05
aac: augmentative and alternative communication,Quartile 1,NS,3.32
aacl bioflux,Quartile 3,NS,0.56
aacn advanced critical care,Quartile 2,NS,0.92
aana journal,Quartile 2,NS,0.63
aao journal,Quartile 3,NS,0.11
aapg bulletin,Quartile 1,NS,3.4
aapg memoir,Quartile 3,NS,1.01
"aapp atti della accademia peloritana dei pericolanti, classe di scienze fisiche, matematiche e naturali",Quartile 2,Other,0.59
aaps journal,Quartile 1,NS,3.87
aaps pharmscitech,Quartile 2,NS,2.46
aatcc journal of research,Quartile 4,NS,0.45
aatcc review,Quartile 3,NS,0.27
ab imperio,Quartile 2,Other,0.23
abacus,Quartile 1,EC,2.41
abb review,Quartile 4,NS,0.05
abdominal radiology,Quartile 2,NS,2.02
abhandlungen aus dem mathematischen seminar der universitat hamburg,Quartile 3,Other,0.42
abstract and applied analysis,Quartile 3,Other,0.58
abu technical review,Quartile 4,NS,0
academe,Quartile 4,Other,0.09
academia (greece),Quartile 4,Other,0.06
academia revista latinoamericana de administracion,Quartile 3,EC,0.67
academic emergency medicine,Quartile 1,NS,2.38
academic journal of manufacturing engineering,Quartile 3,NS,0.69
academic journal of second military medical university,Quartile 4,NS,0.06
academic medicine,Quartile 1,Other,2.22
academic pathology,Quartile 3,NS,0.67
academic pediatrics,Quartile 1,NS,2.31
academic psychiatry,Quartile 2,Other,0.92
academic questions,Quartile 4,Other,0.08
academic radiology,Quartile 2,NS,2
academy of accounting and financial studies journal,Quartile 4,EC,0.26
academy of entrepreneurship journal,Quartile 2,EC,0.98
academy of management annals,Quartile 1,EC,16.16
academy of management journal,Quartile 1,EC,10.36
academy of management learning and education,Quartile 1,EC,4.11
academy of management perspectives,Quartile 1,EC,5.92
academy of management review,Quartile 1,EC,9.2
academy of strategic management journal,Quartile 3,EC,0.93
acadiensis,Quartile 3,Other,0.13
acarina,Quartile 3,NS,0.9
acarologia,Quartile 2,NS,1.06
accident analysis and prevention,Quartile 1,Other,3.82
accountability in research,Quartile 1,Other,1.29
accounting and business research,Quartile 1,EC,2.31
accounting and finance,Quartile 1,EC,1.82
accounting and the public interest,Quartile 4,EC,0.47
accounting education,Quartile 2,EC,1.36
accounting forum,Quartile 1,EC,3.01
accounting historians journal,Quartile 4,EC,0.42
accounting history,Quartile 1,Other,0.96
accounting history review,Quartile 1,Other,1.24
accounting horizons,Quartile 1,EC,2.87
accounting in europe,Quartile 2,EC,1.27
accounting perspectives,Quartile 3,EC,0.74
accounting research journal,Quartile 3,EC,0.65
accounting review,Quartile 1,EC,4.57
"accounting, auditing and accountability journal",Quartile 1,EC,3.9
"accounting, economics and law",Quartile 3,EC,0.42
"accounting, organizations and society",Quartile 1,EC,3.83
