Publication Name,Interdisciplinary,Comparator,# Unique Issues
ACI Materials Journal,5,44,4
ACI Structural Journal,1,11,1
Acta Geophysica,1,7,1
Acta Mechanica Sinica/Lixue Xuebao,1,12,1
Acta Oecologica,2,23,2
Advances in Complex Systems,2,0,1
Advances in Water Resources,5,64,5
African Journal of Range and Forage Science,5,8,2
Agricultural and Forest Entomology,2,20,2
Agricultural and Forest Meteorology,14,112,13
Agricultural and Resource Economics Review,1,4,1
Agricultural Systems,5,64,5
Agricultural Water Management,1,14,1
Agriculture and Human Values,3,32,3
"Agriculture, Ecosystems and Environment",16,172,15
Agronomy Journal,7,250,6
AIChE Journal,2,51,2
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,1,18,1
Ambio,13,95,11
American Anthropologist,2,19,2
American Antiquity,7,60,6
American Biology Teacher,1,10,1
American Entomologist,1,16,1
American Journal of Agricultural Economics,5,55,4
American Journal of Botany,4,66,4
American Journal of Public Health,1,41,1
American Midland Naturalist,2,28,2
American Naturalist,6,66,6
Analytica Chimica Acta,3,35,3
Analytical and Bioanalytical Chemistry,1,24,1
Analytical Chemistry,4,96,4
Animal Behaviour,2,44,2
Animal Conservation,2,8,1
Animal Feed Science and Technology,1,0,1
Annals of Botany,2,17,2
Annals of GIS,1,5,1
Annual Review of Marine Science,2,13,1
Annual Review of Resource Economics,2,37,2
Antiquity,1,25,1
Applied and Environmental Microbiology,28,730,26
Applied Biochemistry and Biotechnology,1,8,1
Applied Economic Perspectives and Policy,2,16,2
Applied Engineering in Agriculture,1,17,1
Applied Environmental Education and Communication,1,4,1
Applied Geochemistry,3,58,3
Applied Geography,4,84,4
Applied Optics,1,25,1
Applied Soil Ecology,3,28,3
Applied Spectroscopy,3,53,3
Applied Vegetation Science,1,14,1
Aquatic Conservation: Marine and Freshwater Ecosystems,1,15,1
Aquatic Ecology,2,17,2
Aquatic Mammals,1,11,1
Aquatic Microbial Ecology,4,26,4
Aquatic Sciences,3,4,1
Archaeology in Oceania,1,3,1
Architectural Design,1,18,1
Arctic,6,45,6
"Arctic, Antarctic, and Alpine Research",9,47,7
Asia-Pacific Journal of Atmospheric Sciences,1,8,1
Asia and the Pacific Policy Studies,1,14,1
Atmospheric Chemistry and Physics,13,225,13
Atmospheric Environment,7,109,7
Atmospheric Measurement Techniques,1,11,1
Atoll Research Bulletin,1,11,1
Auk,3,60,3
Austral Ecology,1,13,1
Australian Journal of Agricultural and Resource Economics,1,3,1
Basic and Applied Ecology,3,21,3
Bioacoustics,1,0,1
BioControl,1,11,1
Biodiversity and Conservation,3,49,3
Bioenergy Research,3,79,3
Biofuels,1,11,1
Biogeochemistry,25,25,18
Biogeosciences,20,189,18
Biogerontology,1,7,1
Bioinformatics,2,46,2
Biological Bulletin,1,6,1
Biological Conservation,8,185,8
Biological Control,3,59,3
Biological Invasions,8,131,7
Biological Reviews,2,37,2
Biology,1,25,1
Biology Direct,1,32,1
Biology Letters,3,119,3
Biomass and Bioenergy,6,120,6
Biophysical Journal,2,42,2
Bioresource Technology,1,23,1
BioScience,28,164,24
BioTechniques,1,11,1
Biotropica,3,23,2
BMC Bioinformatics,4,831,2
BMC Ecology,2,63,2
BMC Evolutionary Biology,5,327,3
BMC Genomics,8,2035,4
BMC Plant Biology,2,93,2
BMC Public Health,1,1194,1
Botanica Marina,1,9,1
Botany,3,22,3
Boundary-Layer Meteorology,17,82,14
Building Research and Information,1,9,1
Bulletin of Marine Science,6,44,5
Bulletin of Mathematical Biology,1,7,1
Bulletin of the American Meteorological Society,2,19,2
Bulletin of the Geological Society of America,3,0,3
Bulletin of the Seismological Society of America,1,33,1
Canadian Entomologist,2,15,2
Canadian Field-Naturalist,1,9,1
Canadian Journal of Agricultural Economics,1,4,1
Canadian Journal of Fisheries and Aquatic Sciences,32,256,25
Canadian Journal of Forest Research,6,43,5
Canadian Journal of Remote Sensing,1,28,1
Canadian Journal of Zoology,5,41,5
"Capitalism, Nature, Socialism",1,6,1
CBE Life Sciences Education,1,13,1
Cement and Concrete Research,1,8,1
Chemical Geology,3,15,3
Chemical Reviews,2,11,1
Chemosphere,1,12,1
Chinese Geographical Science,1,6,1
Cities,1,28,1
Climate Dynamics,8,17,8
Climate Research,3,9,3
Climatic Change,19,111,19
Cluster Computing,1,8,1
Coastal Engineering,1,12,1
Coastal Management,2,7,2
Cold Regions Science and Technology,2,23,2
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1,6,1
Composites Science and Technology,1,17,1
Comptes Rendus - Geoscience,1,0,1
Computation,1,3,1
Computational and Mathematical Organization Theory,1,0,1
Computers and Chemical Engineering,2,28,2
"Computers, Environment and Urban Systems",2,25,2
Computing in Science and Engineering,1,11,1
CONCAWE Review,1,0,1
Concurrency Computation Practice and Experience,1,14,1
Condor,1,21,1
Conservation and Society,1,7,1
Conservation Biology,13,234,12
Conservation Genetics,2,30,2
Conservation Letters,4,14,4
Copeia,1,505,1
Crop Science,1,37,1
Cryosphere,7,121,5
Current Anthropology,4,71,3
Current Biology,2,56,2
Current Climate Change Reports,1,7,1
Current Genomics,1,7,1
Current Opinion in Biotechnology,2,31,2
Current Opinion in Environmental Sustainability,9,39,8
Current Opinion in Genetics and Development,1,13,1
Current Opinion in Insect Science,1,10,1
Daedalus,1,6,1
Deep-Sea Research Part I: Oceanographic Research Papers,5,28,5
Deep-Sea Research Part II: Topical Studies in Oceanography,6,3,5
Dendrochronologia,1,5,1
Discrete and Continuous Dynamical Systems - Series B,1,24,1
Diversity,2,14,2
Diversity and Distributions,3,28,3
Doklady Earth Sciences,1,22,1
Earth-Science Reviews,1,41,1
Earth and Planetary Science Letters,6,0,6
Earth Interactions,3,0,3
Earth System Dynamics,1,8,1
Earth System Science Data,1,26,1
Ecography,1,6,1
EcoHealth,3,29,3
Ecohydrology,1,8,1
Ecohydrology and Hydrobiology,1,6,1
Ecological Applications,40,363,30
Ecological Complexity,6,46,6
Ecological Economics,16,248,16
Ecological Entomology,1,18,1
Ecological Indicators,1,12,1
Ecological Informatics,2,21,2
Ecological Modelling,17,91,15
Ecological Monographs,1,2,1
Ecological Research,5,103,5
Ecological Restoration,2,34,2
Ecology,38,443,32
Ecology and Evolution,4,87,4
Ecology and Society,24,353,13
Ecology Letters,20,115,18
Ecology of Freshwater Fish,6,76,6
Economic Systems Research,1,5,1
Ecosphere,11,116,10
Ecosystems,34,133,28
Ekonomicky Casopis,1,8,1
Electroanalysis,1,13,1
Electrophoresis,1,24,1
EM: Air and Waste Management Association's Magazine for Environmental Managers,1,13,1
Energies,1,77,1
Energy and Buildings,1,26,1
Energy Journal,1,23,1
Energy Policy,5,272,5
Energy Research and Social Science,1,28,1
Entomologia Experimentalis et Applicata,1,8,1
Entropy,1,4,1
Environment,3,14,3
Environment and History,1,4,1
Environment and Planning a,3,36,3
Environment and Planning B: Planning and Design,6,26,4
Environment and Planning D: Society and Space,1,11,1
Environmental and Resource Economics,2,1,1
Environmental Biology of Fishes,3,33,3
Environmental Conservation,6,30,6
Environmental Development,1,7,1
Environmental Engineering Science,1,13,1
Environmental Fluid Mechanics,1,0,1
Environmental Health Perspectives,2,60,2
Environmental Management,11,123,11
Environmental Microbiology,6,149,6
Environmental Modeling and Assessment,2,12,2
Environmental Modelling and Software,15,161,13
Environmental Monitoring and Assessment,1,0,1
Environmental Pollution,4,65,4
Environmental Progress and Sustainable Energy,1,54,1
Environmental Research,1,14,1
Environmental Research Letters,28,429,19
Environmental Science and Policy,7,91,6
Environmental Sciences: Processes and Impacts,2,19,1
Environmental Toxicology and Chemistry,4,94,4
Eos,7,23,7
Estuaries and Coasts,1,19,1
"Estuarine, Coastal and Shelf Science",3,35,3
"Ethics, Policy and Environment",1,12,1
Ethology,1,13,1
European Food Research and Technology,1,19,1
European Journal of Agronomy,1,14,1
European Journal of Development Research,1,3,1
European Journal of Soil Science,2,21,2
European Review of Agricultural Economics,1,7,1
Evolutionary Anthropology,1,7,1
Evolutionary Applications,3,19,3
Experiments in Fluids,1,18,1
Facies,1,17,1
FASEB Journal,1,24,1
FEBS Letters,1,24,1
FEMS Microbiology Ecology,2,28,2
FEMS Microbiology Letters,1,12,1
Field Crops Research,1,0,1
Fish and Fisheries,4,9,3
Fisheries,1,5,1
Fisheries Oceanography,7,33,7
Fisheries Research,5,52,4
Fishery Bulletin,1,9,1
Folia Geobotanica,1,0,1
Food Chemistry,1,24,1
Food Policy,1,6,1
Food Quality and Preference,1,18,1
Foreign Affairs,1,17,1
Forest Ecology and Management,11,164,11
Forest Policy and Economics,2,18,2
Forests,4,78,4
Freshwater Biology,5,51,5
Freshwater Science,2,32,2
Frontiers in Cellular and Infection Microbiology,1,7,1
Frontiers in Ecology and Evolution,1,30,1
Frontiers in Ecology and the Environment,21,172,19
Frontiers in Environmental Science,1,3,1
Frontiers in Microbiology,7,405,7
Frontiers in Plant Science,1,2038,1
Frontiers of Earth Science,1,30,1
Functional Ecology,4,61,4
Functional Plant Biology,1,2,1
Future Generation Computer Systems,2,58,2
Games,1,11,1
GCB Bioenergy,14,71,11
General and Comparative Endocrinology,1,11,1
Genome Biology,1,6,1
Genome Research,1,13,1
Geobiology,2,12,2
"Geochemistry, Geophysics, Geosystems",2,19,2
Geochimica et Cosmochimica Acta,12,141,12
Geoderma,7,64,7
